sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
PhyllodoceEmpetriformis,Phyllodoce empetriformis,Phyllodoce empetriformis,Phyllodoce.empetriformis,Species,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PhysariaArenosa,Physaria arenosa,Physaria arenosa,Physaria.arenosa,Species,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PhysariaSpatulata,Physaria spatulata,Physaria spatulata,Physaria.spatulata,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PiceaEngelmannii,Picea engelmannii,Picea engelmannii,Picea.engelmannii,Species,40,14,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PiceaGlauca,Picea glauca,Picea glauca,Picea.glauca,Species,1895,593,TRUE,TRUE,TRUE,FALSE,TRUE,Native
PiceaMariana,Picea mariana,Picea mariana,Picea.mariana,Species,1699,480,TRUE,TRUE,FALSE,FALSE,TRUE,Native
PiceaPungens,Picea pungens,Picea pungens,Picea.pungens,Species,7,5,TRUE,FALSE,FALSE,FALSE,FALSE,Exotic
PicradeniopsisOppositifolia,Picradeniopsis oppositifolia,Picradeniopsis oppositifolia,Picradeniopsis.oppositifolia,Species,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
PinguiculaVillosa,Pinguicula villosa,Pinguicula villosa,Pinguicula.villosa,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
Pinus,Pinus,Pinus,Pinus,Genus,5,2,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PinusBanksiana,Pinus banksiana,Pinus banksiana,Pinus.banksiana,Species,772,257,TRUE,TRUE,FALSE,FALSE,TRUE,Native
PinusContorta,Pinus contorta,Pinus contorta,Pinus.contorta,Species,391,122,TRUE,TRUE,FALSE,FALSE,TRUE,Native
PinusMurraybanksiana,Pinus murraybanksiana,Pinus murraybanksiana,Pinus.murraybanksiana,Species,18,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
PinusSylvestris,Pinus sylvestris,Pinus sylvestris,Pinus.sylvestris,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
PiptatherumPungens,Piptatherum pungens,Piptatherum pungens,Piptatherum.pungens,Species,193,67,TRUE,TRUE,FALSE,FALSE,TRUE,Native
Pisum,Pisum,Pisum,Pisum,Genus,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PisumSativum,Pisum sativum,Pisum sativum,Pisum.sativum,Species,59,24,TRUE,FALSE,TRUE,FALSE,FALSE,Exotic
PlagiobothrysScouleri,Plagiobothrys scouleri,Plagiobothrys scouleri,Plagiobothrys.scouleri,Species,18,10,FALSE,FALSE,TRUE,FALSE,FALSE,Native
Plantago,Plantago,Plantago,Plantago,Genus,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
PlantagoElongata,Plantago elongata,Plantago elongata,Plantago.elongata,Species,8,5,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PlantagoEriopoda,Plantago eriopoda,Plantago eriopoda,Plantago.eriopoda,Species,13,6,FALSE,FALSE,TRUE,FALSE,FALSE,Native
PlantagoMajor,Plantago major,Plantago major,Plantago.major,Species,543,235,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
PlantagoPatagonica,Plantago patagonica,Plantago patagonica,Plantago.patagonica,Species,111,44,FALSE,FALSE,TRUE,TRUE,TRUE,Native
Platanthera,Platanthera,Platanthera,Platanthera,Genus,6,5,TRUE,FALSE,FALSE,FALSE,FALSE,NA
PlatantheraDilatata,Platanthera dilatata,Platanthera dilatata,Platanthera.dilatata,Species,22,12,TRUE,FALSE,FALSE,FALSE,FALSE,Native
