sppid,species,scinam,dataname,Rank,Occurrences,nSites,UseAvailability.North,Analysis.North,UseAvailability.South,Analysis.South,Maps,Origin
StuckeniaPectinata,Stuckenia pectinata,Stuckenia pectinata,Stuckenia.pectinata,Species,9,3,FALSE,FALSE,FALSE,FALSE,FALSE,Native
StuckeniaVaginata,Stuckenia vaginata,Stuckenia vaginata,Stuckenia.vaginata,Species,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
SuaedaCalceoliformis,Suaeda calceoliformis,Suaeda calceoliformis,Suaeda.calceoliformis,Species,20,11,FALSE,FALSE,TRUE,FALSE,FALSE,Native
Symphoricarpos,Symphoricarpos,Symphoricarpos,Symphoricarpos,Genus,24,9,TRUE,FALSE,FALSE,FALSE,FALSE,NA
SymphoricarposAlbus,Symphoricarpos albus,Symphoricarpos albus,Symphoricarpos.albus,Species,801,284,TRUE,TRUE,TRUE,TRUE,TRUE,Native
SymphoricarposOccidentalis,Symphoricarpos occidentalis,Symphoricarpos occidentalis,Symphoricarpos.occidentalis,Species,920,304,TRUE,TRUE,TRUE,TRUE,TRUE,Native
Symphyotrichum,Symphyotrichum,Symphyotrichum,Symphyotrichum,Genus,31,16,FALSE,FALSE,TRUE,FALSE,FALSE,NA
SymphyotrichumAscendens,Symphyotrichum ascendens,Symphyotrichum ascendens,Symphyotrichum.ascendens,Species,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
SymphyotrichumBoreale,Symphyotrichum boreale,Symphyotrichum boreale,Symphyotrichum.boreale,Species,32,17,TRUE,FALSE,TRUE,FALSE,FALSE,Native
SymphyotrichumCiliatum,Symphyotrichum ciliatum,Symphyotrichum ciliatum,Symphyotrichum.ciliatum,Species,29,16,TRUE,FALSE,TRUE,FALSE,FALSE,Native
SymphyotrichumCiliolatum,Symphyotrichum ciliolatum,Symphyotrichum ciliolatum,Symphyotrichum.ciliolatum,Species,1392,491,TRUE,TRUE,TRUE,TRUE,TRUE,Native
SymphyotrichumEricoides,Symphyotrichum ericoides/falcatum,Symphyotrichum ericoides/falcatum,Symphyotrichum.ericoides.falcatum,Species,533,179,TRUE,FALSE,TRUE,TRUE,TRUE,Native
SymphyotrichumLaeve,Symphyotrichum laeve,Symphyotrichum laeve,Symphyotrichum.laeve,Species,282,125,TRUE,TRUE,TRUE,TRUE,TRUE,Native
SymphyotrichumLanceolatum,Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,Symphyotrichum.lanceolatum,Species,95,47,TRUE,FALSE,TRUE,TRUE,TRUE,Native
SymphyotrichumPuniceum,Symphyotrichum puniceum,Symphyotrichum puniceum,Symphyotrichum.puniceum,Species,314,147,TRUE,TRUE,TRUE,FALSE,TRUE,Native
Syringa,Syringa,Syringa,Syringa,Genus,3,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
SyringaReticulata,Syringa reticulata,Syringa reticulata,Syringa.reticulata,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
SyringaVulgaris,Syringa vulgaris,Syringa vulgaris,Syringa.vulgaris,Species,6,4,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
TanacetumBipinnatum,Tanacetum vulgare,Tanacetum vulgare,Tanacetum.vulgare,Species,35,21,TRUE,FALSE,TRUE,FALSE,FALSE,Exotic
TaraxacumCeratophorum,Taraxacum ceratophorum,Taraxacum ceratophorum,Taraxacum.ceratophorum,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
TaraxacumOfficinale,Taraxacum officinale / erythrospermum,Taraxacum officinale / erythrospermum,Taraxacum.officinale...erythrospermum,Species,2651,856,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
Taxus,Taxus,Taxus,Taxus,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
TephroserisPalustris,Tephroseris palustris,Tephroseris palustris,Tephroseris.palustris,Species,9,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
Thalictrum,Thalictrum,Thalictrum,Thalictrum,Genus,12,6,FALSE,FALSE,TRUE,FALSE,FALSE,NA
ThalictrumDasycarpum,Thalictrum dasycarpum,Thalictrum dasycarpum,Thalictrum.dasycarpum,Species,37,13,TRUE,FALSE,FALSE,FALSE,FALSE,Native
ThalictrumOccidentale,Thalictrum occidentale,Thalictrum occidentale,Thalictrum.occidentale,Species,33,12,TRUE,FALSE,FALSE,FALSE,FALSE,Native
ThalictrumSparsiflorum,Thalictrum sparsiflorum,Thalictrum sparsiflorum,Thalictrum.sparsiflorum,Species,30,19,TRUE,FALSE,FALSE,FALSE,FALSE,Native
ThalictrumVenulosum,Thalictrum venulosum,Thalictrum venulosum,Thalictrum.venulosum,Species,500,212,TRUE,TRUE,TRUE,TRUE,TRUE,Native
ThermopsisRhombifolia,Thermopsis rhombifolia,Thermopsis rhombifolia,Thermopsis.rhombifolia,Species,555,195,TRUE,FALSE,TRUE,TRUE,TRUE,Native
ThinopyrumIntermedium,Thinopyrum intermedium,Thinopyrum intermedium,Thinopyrum.intermedium,Species,12,5,FALSE,FALSE,TRUE,FALSE,FALSE,Exotic
ThlaspiArvense,Thlaspi arvense,Thlaspi arvense,Thlaspi.arvense,Species,549,215,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
ThunbergiaAlata,Thunbergia alata,Thunbergia alata,Thunbergia.alata,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
TiarellaTrifoliata,Tiarella trifoliata,Tiarella trifoliata,Tiarella.trifoliata,Species,12,5,TRUE,FALSE,FALSE,FALSE,FALSE,Native
TorreyochloaPallida,Torreyochloa pallida,Torreyochloa pallida,Torreyochloa.pallida,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
ToxicoscordionVenenosum,Toxicoscordion venenosum,Toxicoscordion venenosum,Toxicoscordion.venenosum,Species,67,31,FALSE,FALSE,TRUE,TRUE,TRUE,Native
TragopogonPratensis,Tragopogon pratensis,Tragopogon pratensis,Tragopogon.pratensis,Species,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
TrianthaGlutinosa,Triantha glutinosa,Triantha glutinosa,Triantha.glutinosa,Species,15,8,TRUE,FALSE,FALSE,FALSE,FALSE,Native
TrichophorumAlpinum,Trichophorum alpinum,Trichophorum alpinum,Trichophorum.alpinum,Species,8,4,TRUE,FALSE,FALSE,FALSE,FALSE,Native
TrientalisBorealis,Trientalis borealis,Trientalis borealis,Trientalis.borealis,Species,576,230,TRUE,TRUE,TRUE,FALSE,TRUE,Native
TrientalisEuropaea,Trientalis europaea,Trientalis europaea,Trientalis.europaea,Species,14,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
Trifolium,Trifolium,Trifolium,Trifolium,Genus,9,4,TRUE,FALSE,FALSE,FALSE,FALSE,NA
TrifoliumHybridum,Trifolium hybridum,Trifolium hybridum,Trifolium.hybridum,Species,763,285,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
TrifoliumPratense,Trifolium pratense,Trifolium pratense,Trifolium.pratense,Species,406,162,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
TrifoliumRepens,Trifolium repens,Trifolium repens,Trifolium.repens,Species,516,189,TRUE,TRUE,TRUE,TRUE,TRUE,Exotic
TriglochinMaritima,Triglochin maritima,Triglochin maritima,Triglochin.maritima,Species,163,60,TRUE,TRUE,TRUE,FALSE,TRUE,Native
TriglochinPalustris,Triglochin palustris,Triglochin palustris,Triglochin.palustris,Species,16,9,TRUE,FALSE,FALSE,FALSE,FALSE,Native
TripleurospermumInodorum,Tripleurospermum inodorum,Tripleurospermum inodorum,Tripleurospermum.inodorum,Species,70,34,TRUE,TRUE,TRUE,FALSE,TRUE,Exotic
TrisetumSpicatum,Trisetum spicatum,Trisetum spicatum,Trisetum.spicatum,Species,22,10,TRUE,FALSE,FALSE,FALSE,FALSE,Native
Triticosecale,Triticosecale,Triticosecale,Triticosecale,Genus,22,6,FALSE,FALSE,TRUE,FALSE,FALSE,Exotic
Triticum,Triticum,Triticum,Triticum,Genus,487,135,TRUE,FALSE,TRUE,TRUE,TRUE,Exotic
TrolliusAlbiflorus,Trollius albiflorus,Trollius albiflorus,Trollius.albiflorus,Species,7,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
TurritisGlabra,Turritis glabra,Turritis glabra,Turritis.glabra,Species,42,16,TRUE,FALSE,TRUE,FALSE,FALSE,Native
TyphaLatifolia,Typha latifolia,Typha latifolia,Typha.latifolia,Species,281,137,TRUE,TRUE,TRUE,TRUE,TRUE,Native
UlmusAmericana,Ulmus americana,Ulmus americana,Ulmus.americana,Species,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
UlmusPumila,Ulmus pumila,Ulmus pumila,Ulmus.pumila,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
Urtica,Urtica,Urtica,Urtica,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
UrticaDioica,Urtica dioica,Urtica dioica,Urtica.dioica,Species,442,213,TRUE,TRUE,TRUE,TRUE,TRUE,Native
UtriculariaIntermedia,Utricularia intermedia,Utricularia intermedia,Utricularia.intermedia,Species,29,11,TRUE,FALSE,FALSE,FALSE,FALSE,Native
UtriculariaMinor,Utricularia minor,Utricularia minor,Utricularia.minor,Species,4,4,TRUE,FALSE,FALSE,FALSE,FALSE,Native
UtriculariaVulgaris,Utricularia vulgaris,Utricularia vulgaris,Utricularia.vulgaris,Species,57,23,TRUE,FALSE,TRUE,FALSE,FALSE,Native
VaccariaHispanica,Vaccaria hispanica,Vaccaria hispanica,Vaccaria.hispanica,Species,40,13,FALSE,FALSE,TRUE,FALSE,FALSE,Exotic
Vaccinium,Vaccinium,Vaccinium,Vaccinium,Genus,37,14,TRUE,FALSE,FALSE,FALSE,FALSE,NA
VacciniumCespitosum,Vaccinium cespitosum,Vaccinium cespitosum,Vaccinium.cespitosum,Species,293,124,TRUE,TRUE,FALSE,FALSE,TRUE,Native
VacciniumMembranaceum,Vaccinium membranaceum,Vaccinium membranaceum,Vaccinium.membranaceum,Species,63,21,TRUE,TRUE,FALSE,FALSE,TRUE,Native
VacciniumMyrtilloides,Vaccinium myrtilloides,Vaccinium myrtilloides,Vaccinium.myrtilloides,Species,1370,455,TRUE,TRUE,FALSE,FALSE,TRUE,Native
VacciniumMyrtillus,Vaccinium myrtillus,Vaccinium myrtillus,Vaccinium.myrtillus,Species,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
VacciniumOxycoccos,Vaccinium oxycoccos,Vaccinium oxycoccos,Vaccinium.oxycoccos,Species,1024,332,TRUE,TRUE,FALSE,FALSE,TRUE,Native
VacciniumScoparium,Vaccinium scoparium,Vaccinium scoparium,Vaccinium.scoparium,Species,10,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
VacciniumUliginosum,Vaccinium uliginosum,Vaccinium uliginosum,Vaccinium.uliginosum,Species,69,26,TRUE,TRUE,FALSE,FALSE,TRUE,Native
VacciniumVitisidaea,Vaccinium vitis-idaea,Vaccinium vitis-idaea,Vaccinium.vitis.idaea,Species,2078,627,TRUE,TRUE,FALSE,FALSE,TRUE,Native
ValerianaDioica,Valeriana dioica,Valeriana dioica,Valeriana.dioica,Species,21,12,TRUE,FALSE,FALSE,FALSE,FALSE,Native
ValerianaSitchensis,Valeriana sitchensis,Valeriana sitchensis,Valeriana.sitchensis,Species,12,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
VeratrumViride,Veratrum viride,Veratrum viride,Veratrum.viride,Species,10,3,TRUE,FALSE,FALSE,FALSE,FALSE,Native
Verbena,Verbena,Verbena,Verbena,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
VerbenaBracteata,Verbena bracteata,Verbena bracteata,Verbena.bracteata,Species,15,10,FALSE,FALSE,TRUE,FALSE,FALSE,Native
Veronica,Veronica,Veronica,Veronica,Genus,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,NA
VeronicaAmericana,Veronica americana,Veronica americana,Veronica.americana,Species,36,22,TRUE,FALSE,TRUE,FALSE,FALSE,Native
VeronicaPeregrina,Veronica peregrina,Veronica peregrina,Veronica.peregrina,Species,76,40,TRUE,TRUE,TRUE,TRUE,TRUE,Native
VeronicaScutellata,Veronica scutellata,Veronica scutellata,Veronica.scutellata,Species,11,9,TRUE,FALSE,FALSE,FALSE,FALSE,Native
VeronicaSerpyllifolia,Veronica serpyllifolia,Veronica serpyllifolia,Veronica.serpyllifolia,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
VeronicaSpicata,Veronica spicata,Veronica spicata,Veronica.spicata,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
ViburnumEdule,Viburnum edule,Viburnum edule,Viburnum.edule,Species,1812,580,TRUE,TRUE,TRUE,FALSE,TRUE,Native
ViburnumOpulus,Viburnum opulus,Viburnum opulus,Viburnum.opulus,Species,37,22,TRUE,FALSE,FALSE,FALSE,FALSE,Native
ViciaAmericana,Vicia americana,Vicia americana,Vicia.americana,Species,2219,742,TRUE,TRUE,TRUE,TRUE,TRUE,Native
ViciaCracca,Vicia cracca,Vicia cracca,Vicia.cracca,Species,10,4,FALSE,FALSE,TRUE,FALSE,FALSE,Exotic
Viola,Viola,Viola,Viola,Genus,116,57,TRUE,TRUE,TRUE,FALSE,TRUE,NA
ViolaAdunca,Viola adunca,Viola adunca,Viola.adunca,Species,175,87,TRUE,TRUE,TRUE,TRUE,TRUE,Native
ViolaCanadensis,Viola canadensis,Viola canadensis,Viola.canadensis,Species,640,252,TRUE,TRUE,TRUE,TRUE,TRUE,Native
ViolaNephrophylla,Viola nephrophylla,Viola nephrophylla,Viola.nephrophylla,Species,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,Native
ViolaNuttallii,Viola nuttallii,Viola nuttallii,Viola.nuttallii,Species,3,2,FALSE,FALSE,FALSE,FALSE,FALSE,Native
ViolaPalustris,Viola palustris,Viola palustris,Viola.palustris,Species,14,9,TRUE,FALSE,FALSE,FALSE,FALSE,Native
ViolaPedunculata,Viola pedunculata,Viola pedunculata,Viola.pedunculata,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
ViolaRenifolia,Viola renifolia,Viola renifolia,Viola.renifolia,Species,829,325,TRUE,TRUE,TRUE,FALSE,TRUE,Native
ViolaSelkirkii,Viola selkirkii,Viola selkirkii,Viola.selkirkii,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
ViolaTricolor,Viola tricolor,Viola tricolor,Viola.tricolor,Species,5,4,FALSE,FALSE,TRUE,FALSE,FALSE,Exotic
ViolaWittrockiana,Viola Wittrockiana,Viola Wittrockiana,Viola.Wittrockiana,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
VulpiaOctoflora,Poaceae,Poaceae,Poaceae,Species,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,Native
WoodsiaIlvensis,Woodsia ilvensis,Woodsia ilvensis,Woodsia.ilvensis,Species,8,7,TRUE,FALSE,FALSE,FALSE,FALSE,Native
XanthismaSpinulosum,Xanthisma spinulosum,Xanthisma spinulosum,Xanthisma.spinulosum,Species,126,59,FALSE,FALSE,TRUE,TRUE,TRUE,Native
XanthiumStrumarium,Xanthium strumarium,Xanthium strumarium,Xanthium.strumarium,Species,4,4,FALSE,FALSE,TRUE,FALSE,FALSE,Native
ZeaMays,Zea mays,Zea mays,Zea.mays,Species,11,3,FALSE,FALSE,FALSE,FALSE,FALSE,Exotic
ZigadenusElegans,Zigadenus elegans,Zigadenus elegans,Zigadenus.elegans,Species,92,42,TRUE,FALSE,TRUE,TRUE,TRUE,Native
ZiziaAptera,Zizia aptera,Zizia aptera,Zizia.aptera,Species,77,42,TRUE,FALSE,TRUE,TRUE,TRUE,Native
